gene	gene_id	module_MEnumber	module_Color
111027	ENST00000825212.1	ME1	turquoise
111028	ENST00000825228.1	ME1	turquoise
111035	ENST00000825286.1	ME30	steelblue
111036	ENST00000825287.1	ME30	steelblue
111037	ENST00000825288.1	ME30	steelblue
111040	ENST00000825318.1	ME30	steelblue
111041	ENST00000825344.1	ME3	brown
111042	ENST00000825346.1	ME30	steelblue
111043	ENST00000825349.1	ME2	blue
111044	ENST00000825368.1	ME1	turquoise
111049	ENST00000825405.1	ME2	blue
111052	ENST00000825474.1	ME1	turquoise
111057	ENST00000825589.1	ME1	turquoise
111058	ENST00000825595.1	ME1	turquoise
111059	ENST00000825598.1	ME1	turquoise
111060	ENST00000825645.1	ME3	brown
111062	ENST00000825741.1	ME2	blue
111063	ENST00000825755.1	ME1	turquoise
111067	ENST00000825838.1	ME6	red
111068	ENST00000825839.1	ME6	red
111070	ENST00000825889.1	ME6	red
111071	ENST00000825890.1	ME6	red
111076	ENST00000825919.1	ME30	steelblue
111079	ENST00000825925.1	ME30	steelblue
111084	ENST00000826005.1	ME30	steelblue
111085	ENST00000826006.1	ME3	brown
111086	ENST00000826007.1	ME30	steelblue
111088	ENST00000826019.1	ME30	steelblue
111089	ENST00000826020.1	ME30	steelblue
111090	ENST00000826032.1	ME30	steelblue
111093	ENST00000826052.1	ME1	turquoise
111095	ENST00000826054.1	ME30	steelblue
111098	ENST00000826070.1	ME30	steelblue
111099	ENST00000826076.1	ME30	steelblue
111100	ENST00000826077.1	ME3	brown
111102	ENST00000826082.1	ME30	steelblue
111105	ENST00000826088.1	ME30	steelblue
111106	ENST00000826168.1	ME1	turquoise
111107	ENST00000826183.1	ME1	turquoise
111109	ENST00000826205.1	ME3	brown
111111	ENST00000826216.1	ME1	turquoise
111119	ENST00000826230.1	ME1	turquoise
111123	ENST00000826297.1	ME1	turquoise
111124	ENST00000826298.1	ME1	turquoise
111125	ENST00000826304.1	ME2	blue
111126	ENST00000826306.1	ME1	turquoise
111127	ENST00000826321.1	ME1	turquoise
111129	ENST00000826386.1	ME1	turquoise
111131	ENST00000826413.1	ME1	turquoise
111132	ENST00000826414.1	ME2	blue
111133	ENST00000826429.1	ME1	turquoise
111134	ENST00000826444.1	ME1	turquoise
111137	ENST00000826457.1	ME2	blue
111139	ENST00000826481.1	ME1	turquoise
111140	ENST00000826511.1	ME3	brown
111141	ENST00000826562.1	ME1	turquoise
111142	ENST00000826576.1	ME1	turquoise
111143	ENST00000826586.1	ME1	turquoise
111146	ENST00000826609.1	ME7	black
111148	ENST00000826613.1	ME7	black
111149	ENST00000826614.1	ME7	black
111151	ENST00000826617.1	ME7	black
111155	ENST00000826635.1	ME3	brown
111158	ENST00000826682.1	ME17	grey60
111159	ENST00000826690.1	ME1	turquoise
111160	ENST00000826698.1	ME1	turquoise
111161	ENST00000826709.1	ME2	blue
111164	ENST00000826785.1	ME1	turquoise
111165	ENST00000826786.1	ME3	brown
111166	ENST00000826808.1	ME16	lightcyan
111167	ENST00000826809.1	ME8	pink
111169	ENST00000826816.1	ME8	pink
111170	ENST00000826820.1	ME8	pink
111171	ENST00000826823.1	ME16	lightcyan
111172	ENST00000826826.1	ME2	blue
111173	ENST00000826837.1	ME2	blue
111179	ENST00000826911.1	ME1	turquoise
111181	ENST00000827001.1	ME2	blue
111182	ENST00000827006.1	ME3	brown
111185	ENST00000827110.1	ME1	turquoise
111187	ENST00000827116.1	ME1	turquoise
111189	ENST00000827129.1	ME1	turquoise
